"Age_Racine"	"Vraisemblance"	"Dispersion"	"Extinction"
248.6556876	-130.329895020525	0.0299838523605069	0.0106458350587247
250.3208596	-130.116547957631	0.0302388519759845	0.0108692100534091
267.5203723	-126.221167352068	0.0234551322144978	0.00809178336444651
268.4648575	-128.370950381734	0.0262885569632778	0.00931145768688904
257.895323	-126.270078371404	0.023364673126776	0.00838012284221852
247.4524868	-125.556027883706	0.0263552760711108	0.00900796687260134
280.1992671	-129.518066559059	0.0257249734233221	0.00867236255362837
227.1835921	-121.119915446001	0.0245725308053526	0.00858733755736985
288.3174502	-119.067665358861	0.0231690287573245	0.00751582640358884
259.3228778	-127.667855452812	0.0281711563120629	0.00955079348677106
234.2305758	-124.320674312876	0.0253022847222932	0.00884959080554676
213.9463885	-121.422359659557	0.0265630526467296	0.00976416265748818
261.3830126	-121.750605152866	0.0249882051799712	0.00834336095173954
221.0039618	-120.431003602481	0.0259543955017363	0.00956362672191919
223.5864806	-119.172926351182	0.0257661198456272	0.00840683746844047
258.0880793	-128.890792902708	0.0277526853751504	0.0101588643113315
270.8431024	-135.96024974735	0.0278394261856535	0.00979917864919803
258.8710108	-120.547779450193	0.0240528825142847	0.00794112617408323
255.7826045	-125.739444068378	0.0274599390452498	0.00932694168410515
244.9235574	-117.343364132589	0.0234923299863113	0.007483242443153
252.0346848	-130.890199645225	0.0267934021526216	0.00934059764269548
271.3671477	-125.286781774344	0.0238596348230397	0.00785938734013094
240.5388294	-124.829247878494	0.0257766763517749	0.00932140090446265
222.0268755	-123.06590784955	0.0288438291791295	0.00967629988092095
223.5401739	-132.59915597181	0.0284204636011622	0.0105582220932409
231.087078	-124.164127407604	0.025494538073444	0.00844646389187381
260.9637684	-129.575885394219	0.0259429387710268	0.00912196184762843
244.8987662	-132.035091859684	0.0304679883404945	0.0115098727718081
232.95512	-126.091240904651	0.0295168496870743	0.0103920230966425
255.5622424	-129.58314701385	0.0276158818290776	0.0100928191498666
236.3721711	-130.222597510824	0.0305561291693647	0.0109037827030872
222.1499089	-123.68179289583	0.0296214404930404	0.00990752601123643
246.2845745	-133.016243129018	0.0277453840608625	0.0101736015008323
248.7184819	-138.834263726178	0.0309904311105317	0.0114052443426785
260.3939397	-126.451527098232	0.0270320037254585	0.00919024087027981
240.7535314	-133.466080925498	0.0292409686286296	0.0112376662214646
260.3923378	-120.45038036613	0.0257312077289442	0.00904744142597107
245.2413048	-131.673509495202	0.0288932921017571	0.0106977420833772
231.1398581	-122.326375853479	0.0249465366143432	0.00833941770722205
259.7731513	-127.945980335434	0.0264833276526177	0.00887866757032839
271.5248284	-126.63901452684	0.0260497323193773	0.00888241285417167
226.2762358	-120.389653023174	0.0251577978614402	0.00887147439573826
238.7276949	-128.953026472574	0.0292208296250622	0.010587848223133
260.3784781	-135.077611358748	0.0273790976752915	0.0101273800101463
235.6806512	-117.637908042348	0.0263264297616362	0.00857145164551944
225.1754036	-126.663214086405	0.0269758586579814	0.00964450563387826
229.7101599	-131.07491570757	0.0285582136288808	0.0107079134216785
237.9854308	-132.192007353149	0.0288859780686237	0.0104739513991589
227.5203198	-124.38033682485	0.0265340983517911	0.00923535083784344
244.8700658	-131.242708741503	0.0272911441689459	0.010044403282719
272.6838623	-134.838659176564	0.0258812979887812	0.0101956997078776
234.4368482	-136.799451001204	0.0303475894289691	0.010750262260841
274.9704517	-130.686811984774	0.0243260501822052	0.00878039025140137
259.3106202	-118.474768871157	0.0197707770545015	0.00678554094376955
261.577332	-122.302586591096	0.0262779389752472	0.00852736701297451
261.063308	-132.560029995166	0.0283725566326086	0.0103777593873255
229.5238434	-128.954758481682	0.0297989429757077	0.0108222492496717
245.8804974	-124.116443595173	0.0276122122233702	0.00928845835564162
243.1057893	-122.242437164281	0.0242166841463724	0.00848001920208186
237.112217	-130.171714416388	0.0304426051064987	0.0105437621835702
255.0009629	-129.096212111995	0.0251792845788794	0.00979636595465186
251.0815106	-132.021030354327	0.0286661184918511	0.0103607477860567
273.7288421	-125.833473261053	0.0281380149603968	0.00936835721954135
270.6079543	-124.827206630447	0.0279628529722187	0.0090753854504145
243.5787584	-122.149057828748	0.0261169616478616	0.00856100728352146
234.5914004	-124.47485870667	0.0273785466912984	0.00954925272196329
234.5445577	-122.7512031956	0.0287663085938506	0.00953796182875055
241.7075244	-119.259684002175	0.0266187307888518	0.00850318453992071
232.3593802	-131.076449178487	0.0296507151799998	0.0112166842850416
246.3949641	-132.123668142382	0.0297162604741931	0.0108111297810875
249.6351823	-127.470856667071	0.0262568906823615	0.00896270581303881
259.2158308	-132.970493009426	0.0254249671305335	0.00971188433702547
255.4695504	-130.645000645987	0.0303623409469597	0.0108137705524955
227.0298621	-130.012256295028	0.0308519851809657	0.0110196321781289
241.5169467	-130.927000769036	0.0300429131091721	0.0107625253592975
262.7197881	-126.305094686475	0.0268433437832513	0.0092136694783702
259.2296234	-130.128754987171	0.0266494398743652	0.00983487095082943
264.2620236	-122.363113425238	0.0253098408013567	0.00834306254100135
251.7949521	-126.273980876157	0.0285947214304867	0.00979913405871357
247.549732	-128.98707156139	0.0278825540509685	0.0102339107509542
237.3473786	-125.194884022425	0.0283367071892304	0.0096367857786892
252.1989138	-126.797361923056	0.0275735399084549	0.0097613503667554
259.4784995	-131.928379948818	0.028998393206622	0.0104544592633315
253.9029331	-125.028972951064	0.0270772349750776	0.00905858389461605
243.9932656	-123.262656687286	0.0283844635041836	0.00959181794220369
237.5037346	-117.862436000164	0.0257799177626233	0.0085012708799354
230.4824069	-132.245097016056	0.02945705845651	0.0109608600023533
253.9755938	-121.506651673851	0.0266492840726685	0.00907547717867381
259.2498898	-122.002330169674	0.0243399310019415	0.0084586883100309
244.5281567	-132.5963003504	0.0279681840433906	0.0101715215399308
218.4418045	-122.18988816	0.023785206059461	0.0086556815664799
267.8990406	-127.353130199286	0.0254499411675733	0.00915546005570386
252.0409427	-125.772622887485	0.0238536050191448	0.0088034266393625
235.9888313	-122.766115707153	0.0289235453300628	0.00982169598348834
275.7294933	-135.798880112087	0.0282508007148785	0.0100879066828383
254.5941862	-123.664376350132	0.0260691276247695	0.00895275332566953
223.3823683	-126.721168544561	0.0280175106085121	0.0100215346776807
245.9117288	-117.81109508372	0.0236977636100762	0.00753471728052128
250.1979819	-131.967570254121	0.0277185175059219	0.0102290022375314
248.134003	-114.99124050606	0.0226731790558509	0.00701630954746318
