Latitude	Longitude
-28.1957816405	153.5782241821
-28.1037375762	153.4787320285
-27.4208811526	153.5292849278
-28.38	153.67
-28.6116013387	153.6279784922
-33.4474130736	151.4498108522
-33.444795	151.449692
-35.5050864753	150.4006145063
-33.8004405121	151.2947623166
-33.7367888889	151.3061666667
-33.7993174264	151.2961652764
-33.8003392169	151.2949270601
-33.7992111951	151.2939322834
-34.4228192	150.9094276
-33.84032835	151.25408815
18.8723477616	72.8860136953
18.6475694589	72.8902222281
19.2962357057	72.9701467388
18.8727297681	72.814444188
15.0909295906	74.1783055686
18.9997088196	72.712420189
18.8526457682	72.6495242472
18.8810354974	72.8788287261
18.8825900575	72.7762744506
18.8176356729	72.7242600071
17.7494026795	83.3949636782
17.7303085262	83.2273154891
17.6986360491	83.3604826991
17.6464228528	83.3016744763
17.6279192285	83.2214242154
17.7032880091	83.2164031295
18.9208825361	72.8771205604
17.6424483395	83.3614832911
17.6631551531	83.2643586865
15.876640173	73.7325011775
1.5721436089	103.6495510197
1.4791435283	103.6901509989
1.5940126058	103.6229430878
12.4806677382	99.9548335121
9.9680261549	98.5724431802
-0.6774905688	109.5105095353
28.2415680368	121.6272676643
24.5374632943	118.1517325205
14.1903809052	120.7428962386
24.2824318198	120.4952858498
24.4992603989	118.4473664808
24.4147680882	118.0902286336
11.2880420609	124.0686402002
22.7500649615	115.2831712196
11.4095156358	124.0464766357
23.9335386361	121.7517622136
-16.7846783529	145.8569760582
-24.1098508404	152.7177213114
-28.1047824617	153.4741198055
-23.9018470417	152.4094860906
-24.114502953	152.7193199133
-27.9360460747	153.429147376
-26.6155877623	153.1158632238
-28.1636	153.5403
-26.6146347	153.1144871
-29.7156178574	153.5766373824
-21.81675657	114.19154665
-21.6552825299	114.361414499
-23.1544211115	113.7662058443
-21.8166933333	114.191545
-21.8039936738	114.1150359809
-21.7869422832	114.1296081932
-21.8169668098	114.1916849597
-21.8167246	114.1916294
-21.6925929225	114.3178235739
-21.81675656	114.19154665
20.4240760229	-87.0724238455
20.8611026476	-86.818193913
20.3138065505	-87.0444164692
20.4089192528	-87.0300838351
20.5836463506	-87.100457542
17.841145	-87.986595
20.468623864	-87.0166822268
12.3039228281	-82.9796399888
17.8599440974	-87.977571832
17.55475855	-88.07804665
8.4845092076	-79.0014568676
10.4368474199	-85.6559374518
10.6863990609	-85.7849734053
7.7101082856	-81.7442779595
10.939096296	-85.674124706
9.2959788583	-83.9711522956
9.8286458183	-85.6149740817
10.9563246471	-85.7657160282
10.8197621302	-85.968002871
10.3203489258	-85.9771310145
-0.4726067371	130.7659169209
-0.1879384541	130.3818742369
-0.4332282298	130.7816778625
-0.4271224479	130.6306626777
-0.2648104387	130.5441230269
-0.4103810823	130.7363886978
-0.4357475316	130.3630037882
-0.4883404756	130.45331066
-0.7812543355	129.0931727881
-0.5681079696	130.4856261297
-9.549288215	147.3550421297
-11.1464769149	143.0755127946
-9.5170977451	147.1798893701
-9.5167444238	147.1529738123
-9.5996204752	143.6122807365
-9.4788445755	147.0361396091
-9.4826196765	147.1422223202
-0.6763313524	127.5770001415
0.8569063724	127.2052120107
0.5089771449	127.1214296616
-9.1503274483	149.2039275553
-7.9964501392	148.0649777981
-10.7261701425	150.7705261899
-10.7967082082	150.7899271364
-10.5468374447	150.8669939554
-21.5523273578	149.4905476744
-24.1155649499	152.7180002664
-20.0781472715	148.4841679415
-16.5651416667	145.5151666667
-23.4441616667	151.9127966667
-23.4404249996	151.9128416667
-24.1125098486	152.7144905688
-23.4438120991	151.9129103422
-23.4394633333	151.913375
-20.1619628805	148.953188319
-5.0502458317	145.8136282753
-12.5540007535	130.8748149439
-12.0376888333	131.01530555
-12.5676104956	130.9690185694
-12.3744166667	130.8446966667
-16.5076333333	122.8551866667
-16.7736119404	122.5710484385
-12.37422	130.845445
-12.3741888889	130.8450916667
-20.8205	116.1922
-12.4076389	130.8199979
-4.6887979486	55.5661310097
-4.5064126881	55.2185148981
-4.3155089963	55.7207748025
-9.2806849373	46.0811328779
-9.4835590291	46.2023963727
-9.2830516894	46.2543300199
-4.2829048753	55.9023119179
-9.2557186319	46.2565769271
-9.414116339	46.2092242614
-12.8456016955	44.8111709908
-31.9888762575	115.5762178033
-31.8259354565	115.7323270264
-29.929838	153.390565
-33.8093009904	151.3679473572
-36.7377497981	149.9834079462
-32.8773804947	151.8436679428
-33.79850467	151.2961374223
-33.80686	151.307349
-33.9168584449	151.264328122
-35.031301803	138.501412645
-30.93855	153.100874
-32.4325724016	152.5343971036
-32.0314018031	115.443098845
-32.0519893368	115.7256621376
-31.6102519145	115.654076676
-31.8620989488	115.7502623442
-32.2824	115.628
-23.8727541742	113.4966885669
-35.0247335427	117.233460054
-35.0323011116	117.072439827
-25.8999751685	113.1485173614
-32.0121456977	115.7495097646
30.4599373445	130.488238916
30.4577426231	130.489285756
30.4595046236	130.4901494273
26.4580181362	127.897784904
26.504950424	127.8501319885
22.7918227867	121.1933701516
24.545825	118.1018221667
-8.6725470591	115.5718690009
-8.7820754901	115.5985835075
-8.7279668975	119.5604422676
-8.664169602	115.4949924297
-8.6961305018	115.4015504937
-0.414147546	130.5793493482
-8.5097368476	115.4454309597
-8.3571852917	115.6473333536
-8.586821484	115.5891241004
-8.6889026781	115.4873175743
-33.8499203805	151.2764652386
-33.9915358547	151.2301635257
-33.8001937614	151.2944441747
-34.0038648866	151.2294042851
-28.1038333129	153.4777619198
-34.00275	151.2258866667
-36.2471448946	150.2237391265
-33.8002556358	151.294243075
-28.8015092372	153.5975629091
-34.069471	151.129461
-32.7126623543	152.1569705746
-27.403533	153.550881
-30.646448941	153.0189792071
-29.7749619417	153.3027989596
-32.714350514	152.1517519444
-32.7120407947	152.1526619579
-26.8043937343	153.1469001621
-32.7093240823	152.1613762142
-33.3628869932	151.5008754709
-32.7135843705	152.1565286536
-32.3352851902	115.7078982942
-32.337164867	115.7166216063
-32.2702212651	115.7321646324
-32.0987461463	115.7558634686
-32.1057884	115.7614911
-12.5533194444	130.874875
-12.3751533333	130.8456416667
-12.4351966667	130.8294533333
-12.5539916667	130.8738116667
-12.4048716667	130.8129583333
-12.5950662035	130.828438623
-12.4434765521	130.9564500585
-12.4615956762	130.8749190496
-20.3045432778	118.6096049444
-21.9516116054	114.149723039
-20.2934803564	118.5613603529
-21.4699705993	114.9762612537
-20.296834	118.627789
-22.0997669791	113.881653814
-18.0036180477	122.2113940492
-20.29732	118.622511
-23.0523983263	113.7007600582
-20.3078827784	118.5791148548
-35.453953	150.48111
-35.2446429371	150.5389628559
-31.38	152.97
-36.4618416601	150.0681445
-38.2725116667	144.544555
-38.4295083333	144.1775533333
-42.577880485	148.0633562936
-38.3729591111	144.2781982222
-42.5771734557	148.0621194967
-43.2804685854	147.177153917
-42.5865573671	148.0523238669
-41.1475625659	146.5653651405
-35.27296	138.444109
-38.0979943343	147.5879324683
-32.006260104	115.749627221
-32.0065494819	115.7490401259
-31.850392494	115.7484963342
-31.8259354565	115.7323270264
-32.0052643739	115.7482248078
-32.0046957687	115.7486286681
-31.825898	115.7323552
-32.0102135776	115.7480960618
-33.9920551085	122.2230839685
-32.0049732359	115.7464652787
-4.4160520087	39.4056309967
-5.4467576405	38.9980760379
-4.3764346075	39.7044562717
-4.6967816568	39.2207851878
-7.636254074	39.6376541604
-3.2646030746	40.0678176869
-5.5668347468	38.9522797116
-4.2720192155	39.4854160478
-22.2439382001	166.4891300137
-22.1070233286	165.86015925
-22.3577636971	166.5923623119
-18.830041321	178.5244774179
-22.3297186015	166.4994864302
-21.6771103831	165.3868702996
-21.3842584211	165.3308814723
-22.2009929763	166.4701057899
-20.5017138853	166.6171114478
-21.4842573029	165.1653856386
-35.0914355466	117.9475757047
-35.0221344444	138.5149316667
-35.0345997437	138.5138225623
-35.1131962256	137.4970778834
-35.0461059817	138.5077030654
-35.4458138889	138.3072555556
-35.2806060761	138.4405064229
-35.0246064295	117.23396147
-34.8669349076	138.4093199446
-35.2711297286	138.4436784312
