Order	Family	Genus
Orectolobiformes	Hemiscylliidae	Acanthoscyllium
Orectolobiformes	Hemiscylliidae	Adnetoscyllium
Orectolobiformes	Hemiscylliidae	Almascyllium
Orectolobiformes	Orectolobiformes_incert._fam.	Annea
Orectolobiformes	Brachaeluridae	Brachaelurid
Orectolobiformes	Brachaeluridae	Brachaelurus
Orectolobiformes	Ginglymostomatidae	Cantioscyllium
Orectolobiformes	Orectolobidae	Cederstroemia
Orectolobiformes	Hemiscylliidae	Chiloscyllium
Orectolobiformes	Hemiscylliidae	Coelometlaouia
Orectolobiformes	Orectolobidae	Cretorectolobus
Orectolobiformes	Ginglymostomatidae	Delpitoscyllium
Orectolobiformes	Orectolobiformes_incert._fam.	Dorsetoscyllium
Orectolobiformes	Orectolobidae	Eometlaouia
Orectolobiformes	Brachaeluridae	Eostegostoma
Orectolobiformes	Orectolobiformes_incert._fam.	Folipistrix
Orectolobiformes	Ginglymostomatidae	Ganntouria
Orectolobiformes	Orectolobiformes_incert._fam.	Garrigascyllium
Orectolobiformes	Ginglymostomatidae	Ginglymostoma
Orectolobiformes	Hemiscylliidae	Hemiscyllium
Orectolobiformes	Orectolobiformes_incert._fam.	Heterophorcynus
Orectolobiformes	Ginglymostomatidae	Hologinglymostoma
Orectolobiformes	Orectolobiformes_incert._fam.	Magistrauia
Orectolobiformes	Mesiteiidae	Mesiteia
Orectolobiformes	Ginglymostomatidae	Nebrius
Orectolobiformes	Hemiscylliidae	Notoramphoscyllium
Orectolobiformes	Orectolobiformes_incert._fam.	Orecto_gen._nov.1
Orectolobiformes	Orectolobiformes_incert._fam.	Orecto_gen._nov.2
Orectolobiformes	Orectolobiformes_incert._fam.	Orectolobiformes_indet.
Orectolobiformes	Orectolobidae	Orectoloboides
Orectolobiformes	Orectolobidae	Orectolobus
Orectolobiformes	Brachaeluridae	Ornatoscyllium
Orectolobiformes	Brachaeluridae	Palaeobrachaelurus
Orectolobiformes	Orectolobiformes_incert._fam.	Palaeocarcharias
Orectolobiformes	Orectolobiformes_incert._fam.	Palaeorectolobus
Orectolobiformes	Rhincodontidae	Palaeorhincodon
Orectolobiformes	Brachaeluridae	Paraginglymostoma
Orectolobiformes	Orectolobiformes_incert._fam.	Parahemiscyllium
Orectolobiformes	Parascylliidae	Pararhincodon
Orectolobiformes	Parascylliidae	Parascyllium
Orectolobiformes	Orectolobiformes_incert._fam.	Phorcynis
Orectolobiformes	Ginglymostomatidae	Plicatoscyllium
Orectolobiformes	Ginglymostomatidae	Protoginglymostoma
Orectolobiformes	Ginglymostomatidae	Pseudoginglymostoma
Orectolobiformes	Hemiscylliidae	Pseudospinax
Orectolobiformes	Orectolobidae	Restesia
Orectolobiformes	Rhincodontidae	Rhincodon
Orectolobiformes	Orectolobidae	Squatiscyllium
Orectolobiformes	Stegostomatidae	Stegostoma